id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,phone,display_phone,distance,latitude,longitude,address,city,state,zip_code,DBA Name,AKA Name,License #,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Latitude,Longitude,income_household_median
YpozWIjKJNonS6ZzS75Veg,bryn-mawr-breakfast-club-chicago-4,Bryn Mawr Breakfast Club,https://s3-media3.fl.yelpcdn.com/bphoto/Ii-8jR_T-C38nZ_WuwbD8A/o.jpg,False,https://www.yelp.com/biz/bryn-mawr-breakfast-club-chicago-4?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,107,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,['delivery'],17739303068,(773) 930-3068,14759.757699940836,41.938758,-87.739263,4459 w belmont ave,chicago,il,60641,CARNICERIA&FRUTERIA EL MITOTE,CARNICERIA & FRUTERIA EL MITOTE,49322.0,Risk 1 (High),4459 w belmont ave,chicago,il,60641,2014-07-09,Canvass,Pass,41.93881951468354,-87.73943380281585,63545
qWFpQt5Lcyz_kg1UkDDmeQ,la-oaxaqueña-chicago-4,La Oaxaqueña,https://s3-media2.fl.yelpcdn.com/bphoto/s0kX04JR86aic7efUofb2g/o.jpg,False,https://www.yelp.com/biz/la-oaxaque%C3%B1a-chicago-4?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,230,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"['pickup', 'delivery']",17735458585,(773) 545-8585,15305.287590943162,41.9426653,-87.7299573,3382 n milwaukee ave,chicago,il,60641,TAQUERIA LA OAXAQUENA,TAQUERIA LA OAXAQUENA,81973.0,Risk 1 (High),3382 n milwaukee ave,chicago,il,60641,2014-12-08,Canvass,Pass w/ Conditions,41.94267196661514,-87.72994824728335,63545
OZTJG_YNMLLZz-efHWEIng,la-humita-on-wheels-chicago,La Humita On Wheels,https://s3-media1.fl.yelpcdn.com/bphoto/HQBO1CqFmbf6RFGrNdjI7A/o.jpg,False,https://www.yelp.com/biz/la-humita-on-wheels-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,3,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'latin', 'title': 'Latin American'}]",5.0,[],17738148673,(773) 814-8673,18121.06961468565,41.94468,-87.72768,3466 n pulaski rd,chicago,il,60641,LA HUMITA,LA HUMITA,1622351.0,Risk 1 (High),3466 n pulaski rd,chicago,il,60641,2018-12-06,Canvass,Fail,41.94467795956372,-87.72749564970051,63545
zsL_VMONkLJjykXejIE8Gw,hot-woks-cool-sushi-chicago,Hot Woks Cool Sushi,https://s3-media3.fl.yelpcdn.com/bphoto/fpoNz6RECQ8ciDrScDSMeA/o.jpg,False,https://www.yelp.com/biz/hot-woks-cool-sushi-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,423,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",3.5,['delivery'],17732821818,(773) 282-1818,2165.177377804811,41.9528312683105,-87.7278366088867,3930 n pulaski rd,chicago,il,60641,HOT WOKS COOL SUSHI,HOT WOKS COOL SUSHI,1914937.0,Risk 1 (High),3930 n pulaski rd,chicago,il,60641,2014-12-10,Canvass,Pass,41.9527655538644,-87.72773669385518,63545
-gVKPvkI0wLwvOucJpbd2g,zebda-chicago,Zebda,https://s3-media3.fl.yelpcdn.com/bphoto/5PrpLWV8t_AAwR1GJ_C8Vg/o.jpg,False,https://www.yelp.com/biz/zebda-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,207,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.0,"['delivery', 'pickup']",17735457000,(773) 545-7000,2497.2837229896004,41.959698,-87.728001,4344 n elston ave,chicago,il,60641,ZEBDA,ZEBDA,1969801.0,Risk 1 (High),4344 n elston ave,chicago,il,60641,2021-03-15,Complaint,Fail,41.95966972004548,-87.7280873445448,63545
bh55xTHTQGLx95rPIj79ug,la-humita-express-chicago,La Humita Express,https://s3-media4.fl.yelpcdn.com/bphoto/OAfaiSTUTP8jVVnb2XYzOg/o.jpg,False,https://www.yelp.com/biz/la-humita-express-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,87,"[{'alias': 'latin', 'title': 'Latin American'}]",4.0,"['delivery', 'pickup']",17737949672,(773) 794-9672,2076.58636630768,41.94469974103427,-87.72748329025124,3466 n pulaski rd,chicago,il,60641,LA HUMITA,LA HUMITA,1622351.0,Risk 1 (High),3466 n pulaski rd,chicago,il,60641,2018-12-06,Canvass,Fail,41.94467795956372,-87.72749564970051,63545
95oNMOsOFmyj3ThGuv4uNw,paddy-macs-chicago,Paddy Mac's,https://s3-media2.fl.yelpcdn.com/bphoto/VFDivCRbPbCzZWuejCoZtA/o.jpg,False,https://www.yelp.com/biz/paddy-macs-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,154,"[{'alias': 'irish', 'title': 'Irish'}, {'alias': 'pubs', 'title': 'Pubs'}]",4.0,"['delivery', 'pickup']",17732799300,(773) 279-9300,2330.4038919272803,41.9571351,-87.7276725,4157 n pulaski rd,chicago,il,60641,PADDY MAC'S,PADDY MAC'S,7098.0,Risk 1 (High),4157 n pulaski rd,chicago,il,60641,2014-06-30,Canvass,Pass,41.957154975326574,-87.72757201572533,63545
zpLIsXCEitY8zMbW4wQELw,brasa-roja-chicago-2,Brasa Roja,https://s3-media3.fl.yelpcdn.com/bphoto/x7n0pWRze_OpwqhmbC_vnQ/o.jpg,False,https://www.yelp.com/biz/brasa-roja-chicago-2?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,169,"[{'alias': 'colombian', 'title': 'Colombian'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'spanish', 'title': 'Spanish'}]",3.5,['delivery'],17734815936,(773) 481-5936,2070.182102675799,41.9461541666152,-87.7276231342307,3556 n pulaski rd,chicago,il,60641,BRASA ROJA RESTAURANT,BRASA ROJA RESTAURANT,2184967.0,Risk 1 (High),3556 n pulaski rd,chicago,il,60641,2014-10-24,Canvass,Pass,41.946270550939566,-87.72754493145142,63545
GUFk6Ns5Gm5-u4EExUspQg,manee-thai-restaurant-chicago-2,Manee Thai Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/811MB4UZoGc1WQzbI6s-8A/o.jpg,False,https://www.yelp.com/biz/manee-thai-restaurant-chicago-2?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,358,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",3.0,"['delivery', 'pickup']",17737259991,(773) 725-9991,2078.9869457127647,41.9462304,-87.727737,3558 n pulaski rd,chicago,il,60641,MANEETHAI RESTAURANT,MANEE THAI PAN ASIAN RESTAURANT & SUSHI,2031570.0,Risk 1 (High),3558 n pulaski rd,chicago,il,60641,2014-01-09,Complaint,Pass,41.946332650823166,-87.72754687888806,63545
Qm4cCDBnIh0LtTHlP3atZw,papa-rays-pizza-and-wings-chicago,Papa Ray's Pizza & Wings,https://s3-media1.fl.yelpcdn.com/bphoto/Krs8NZQDw2_Qrq7y6iU2YA/o.jpg,False,https://www.yelp.com/biz/papa-rays-pizza-and-wings-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,215,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'salad', 'title': 'Salad'}]",3.5,"['delivery', 'pickup']",17735453505,(773) 545-3505,2236.211318295645,41.9392434,-87.7273049,3208 n pulaski rd,chicago,il,60641,Papa Ray's Pizza & Wings,Papa Ray's Pizza & Wings,2069677.0,Risk 1 (High),3208 n pulaski rd,chicago,il,60641,2018-03-02,Canvass,Fail,41.93937235199209,-87.72734067212008,63545
Z-viUU8XgLggzI4QBg0ElA,la-huarachita-chicago,La Huarachita,https://s3-media4.fl.yelpcdn.com/bphoto/mAMWco-F_6DbfGATf3qiVQ/o.jpg,False,https://www.yelp.com/biz/la-huarachita-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,29,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"['delivery', 'pickup']",17736471983,(773) 647-1983,2215.2514002136827,41.94146,-87.72821,3334 n milwaukee ave,chicago,il,60641,TIXTECO MEXICAN RESTAURANT,TIXTECO MEXICAN RESTAURANT,2220825.0,Risk 1 (High),3334 n milwaukee ave,chicago,il,60641,2014-05-20,Canvass,Pass,41.94162586513457,-87.72822990010388,63545
nXF6sE9FDzKXJYv96V1WaA,taqueria-el-primo-chicago-2,Taqueria El Primo,https://s3-media1.fl.yelpcdn.com/bphoto/BNsnJUjM_h3rrnfMecoBtA/o.jpg,False,https://www.yelp.com/biz/taqueria-el-primo-chicago-2?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,76,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"['delivery', 'pickup']",17739426194,(773) 942-6194,2390.000675831472,41.95929,-87.72679,4317 n elston ave,chicago,il,60641,"LA TAQUERIA EL PRIMO,INC.",LA TAQUERIA EL PRIMO,2652861.0,Risk 1 (High),4317 n elston ave,chicago,il,60641,2020-12-01,Canvass,Pass w/ Conditions,41.95917286936688,-87.72693117067278,63545
LT9F6sXfWrgBqdllxHb7Mg,cafe-fenix-chicago-2,Cafe Fenix,https://s3-media2.fl.yelpcdn.com/bphoto/9UiP3gSc_X9B5Cpo0-UdkA/o.jpg,False,https://www.yelp.com/biz/cafe-fenix-chicago-2?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,15,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",5.0,['delivery'],13126005163,(312) 600-5163,2414.4586439219406,41.9353399,-87.72672,2959 n pulaski rd,chicago,il,60641,CAFE FENIX,CAFE FENIX,2621517.0,Risk 2 (Medium),2959 n pulaski rd,chicago,il,60641,2018-09-11,License,Pass w/ Conditions,41.93533365394091,-87.72693021132564,63545
nw3gqyr5xtZfUDwlnv0vtg,el-muchacho-alegre-chicago,El Muchacho Alegre,https://s3-media3.fl.yelpcdn.com/bphoto/_hNp64_3yCZ2BR9iki5zGQ/o.jpg,False,https://www.yelp.com/biz/el-muchacho-alegre-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,23,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"['pickup', 'delivery']",17736851440,(773) 685-1440,2371.4532836344165,41.9365672810069,-87.7272846240276,3036 n pulaski rd,chicago,il,60618,EL MUCHACHO ALEGRE,EL MUCHACHO ALEGRE,2163723.0,Risk 1 (High),3036 n pulaski rd,chicago,il,60641,2014-06-19,Canvass,Fail,41.93652108441832,-87.72725885229374,63545
QXwIEKrF-IqdNIoh6Yw4iw,northside-grill-chicago-2,Northside Grill,https://s3-media2.fl.yelpcdn.com/bphoto/Fe73DIIfCYM9sThkwHRxew/o.jpg,False,https://www.yelp.com/biz/northside-grill-chicago-2?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,35,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'waffles', 'title': 'Waffles'}]",4.0,"['pickup', 'delivery']",17732835565,(773) 283-5565,2516.5140101380666,41.9599533081055,-87.7279968261719,4351 n elston ave,chicago,il,60641,NORTHSIDE GRILL,NORTHSIDE GRILL,2404396.0,Risk 1 (High),4351 n elston ave,chicago,il,60641,2017-12-29,Canvass,Pass,41.959792501515146,-87.72783183969106,63545
weYyS2j_YZgewovohIJoyw,teddy-bear-lounge-chicago,Teddy Bear Lounge,https://s3-media4.fl.yelpcdn.com/bphoto/zHWWHc6bteWswo-MBGkYzA/o.jpg,False,https://www.yelp.com/biz/teddy-bear-lounge-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,17,"[{'alias': 'bars', 'title': 'Bars'}]",4.0,[],17732675490,(773) 267-5490,2040.193303093461,41.94498,-87.72701,3513 n pulaski rd,chicago,il,60641,BIG TEDDY BEAR INS,BIG TEDDY BEAR,2786713.0,Risk 3 (Low),3513 n pulaski rd,chicago,il,60641,2021-05-28,License,Fail,41.94501707728026,-87.72721296652979,63545
fXJrSIMtS9B7DKn_mMJv4Q,paleteria-y-neveria-tamarindo-loco-chicago,Paleteria y Neveria Tamarindo Loco,https://s3-media3.fl.yelpcdn.com/bphoto/5VxEXLq_l6nlTfqFA81DsQ/o.jpg,False,https://www.yelp.com/biz/paleteria-y-neveria-tamarindo-loco-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,4,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",5.0,[],17738504000,(773) 850-4000,2197.42646963609,41.9402715,-87.7273249,3240 n pulaski rd,chicago,il,60641,TAMARINDO LOCO,EL TAMARINDO LOCO,2252297.0,Risk 2 (Medium),3240 n pulaski rd,chicago,il,60641,2014-05-29,Canvass,Pass w/ Conditions,41.94029215210743,-87.7273633833375,63545
ans_L6g1J2bHE2p_TBssGA,las-islas-marías-chicago-12,Las Islas Marías,https://s3-media3.fl.yelpcdn.com/bphoto/IOBb12xVIlovttk_NfYxrw/o.jpg,False,https://www.yelp.com/biz/las-islas-mar%C3%ADas-chicago-12?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,31,"[{'alias': 'seafood', 'title': 'Seafood'}]",3.0,['delivery'],17736287144,(773) 628-7144,2156.8037858898847,41.9403800571451,-87.7269200608134,3243 n pulaski rd,chicago,il,60641,LAS ISLAS MARIAS,LAS ISLAS MARIAS,2398957.0,Risk 1 (High),3243 n pulaski rd,chicago,il,60641,2018-01-19,Canvass,Fail,41.94034702113589,-87.7270711304646,63545
MvsaN5kY8gaRFF8yDjo8ng,pizza-hut-chicago-31,Pizza Hut,https://s3-media2.fl.yelpcdn.com/bphoto/0AmUbEkMT1RFV8wtgGTBkg/o.jpg,False,https://www.yelp.com/biz/pizza-hut-chicago-31?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,16,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",2.5,"['delivery', 'pickup']",17732839555,(773) 283-9555,2307.694481048467,41.936856050424026,-87.72661864757538,3045 n pulaski rd,chicago,il,60641,PAPA ROMEO'S PIZZA,PAPA ROMEO'S PIZZA,1383005.0,Risk 2 (Medium),3045 n pulaski rd,chicago,il,60641,2014-01-15,Complaint,Fail,41.93675319783174,-87.72697220407252,63545
N6kVs2hJIQ98lChzUVGlfw,taco-pros-chicago-6,Taco pros,https://s3-media4.fl.yelpcdn.com/bphoto/DT0z4pKMIoj7-h4ta8sH_A/o.jpg,False,https://www.yelp.com/biz/taco-pros-chicago-6?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,4,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"['delivery', 'pickup']",17735809569,(773) 580-9569,2334.1871641686967,41.93623114016416,-87.7264774,3029 n pulaski rd,chicago,il,60641,CHINA BUFFET INC.,CHINA BUFFET,2451434.0,Risk 1 (High),3029 n pulaski rd,chicago,il,60641,2017-04-11,Canvass,Pass,41.93625268360409,-87.7269555202423,63545
PeZIykpNnna-ll5N0Hg1dw,kunafa-nabulsia-chicago,Kunafa Nabulsia,https://s3-media2.fl.yelpcdn.com/bphoto/ZKMsoLMyexzh5V6YrYn4iQ/o.jpg,False,https://www.yelp.com/biz/kunafa-nabulsia-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,1,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",5.0,"['pickup', 'delivery']",17736287704,(773) 628-7704,2468.629258618052,41.9593158,-87.7279049,4304 n pulaski rd,chicago,il,60641,POMERA BAKERY,POMERA BAKERY,1845330.0,Risk 2 (Medium),4304 n pulaski rd,chicago,il,60641,2011-12-05,Canvass,Out of Business,41.95929323148519,-87.72792705052548,63545
